
"Retail Product List"
#,Code,Name,Section,Category,Published,"Cost (MYR)","Price (MYR)","Lowest Price (MYR)","Commission Type"
1,ALC01,"Amazing Luminance - Holistic Oxygenating Cellular Cream (50g)","Skin Care","Beaubelle Iconnovations",Yes,0.00,748.00,0.00,
2,BD160,"CustoMask Amplifier","Skin Care","Specialty Mask",Yes,0.00,399.00,0.00,
3,"FFS 565","WHOLISTIC PLUS 50gm",,,Yes,120.00,120.00,0.00,
4,FOX01,"Future Oxygen - Foaming Aqueous Skin Concentrate (50ml)","Skin Care","Beaubelle Iconnovations",Yes,0.00,530.00,0.00,
5,Gi17,"BB THERMAL CUP",,,Yes,0.00,0.00,0.00,
6,Gi18,"BB TIFFIN CARRIER (D14cm*3 Tier)",,,Yes,0.00,0.00,0.00,
7,Gi23,"BB WHITE FELT BAG  ( 40*30*12cm)",,,Yes,0.00,0.00,0.00,
8,Gi24,"BB DRAWSTRING BAG - ORANGE ( 17x23cm) ",,,Yes,0.00,0.00,0.00,
9,IIE03,"PEARL CAPSULE EYE CREAM FOR WRINKLE DIMISISHING","Skin Care",,Yes,0.00,450.00,0.00,
10,MDK01,"Dew for Moisture Swiss Kit (Box Set)","Skin Care",,Yes,0.00,260.00,0.00,
11,MDK02,"Bright at First Sight Swiss Kit (Box Set)","Skin Care",,Yes,0.00,260.00,0.00,
12,MDK03,"Clear Without Fear Swiss Kit (Box Set)","Skin Care",,Yes,0.00,260.00,0.00,
13,MDK04,"Vive la Peau Swiss Kit (Box Set)","Skin Care",,Yes,0.00,260.00,0.00,
14,MSK01,"Extra Mild Cleansing Milk (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
15,MSK02,"Deep Cleansing Cleanser (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
16,MSK05,"New Self Foaming Face Wash (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
17,MSK06,"Dermazulen Soothing Lotion (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
18,MSK07,"Purifying Lotion (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
19,MSK10,"Clarity - Brightening Cleansing Exfoliator (15g)","Skin Care",,Yes,0.00,75.00,0.00,
20,MSK11,"Radiance - Natural Polishing Refiner (15g)","Skin Care",,Yes,0.00,75.00,0.00,
21,MSK15,"Gorgeous - Multi Defence Total Protection (15g)","Skin Care",,Yes,0.00,150.00,0.00,
22,MSK16,"24 Hours Hydro Matte Gel (15g)","Skin Care",,Yes,0.00,104.00,0.00,
23,MSK17,"Vital Serum Mild Skin Fluid (15g)","Skin Care",,Yes,0.00,99.00,0.00,
24,MSK18,"Super Oxygen - Skin Fitness Mask (15g)","Skin Care",,Yes,0.00,100.00,0.00,
25,MSK20,"Doctor Defendo - Phenomenal Skin Protect Cream (15g)","Skin Care",,Yes,0.00,152.00,0.00,
26,MSK22,"Smooth Balancing Tonic (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
27,MSK23,"Soft Make-Up Remover Facial Gel (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
28,MSK24,"Alpine Refreshing Toner (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
29,MSK25,"W3 Active Cleanser (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
30,MSK26,"W3 Conditioning Toner (30ml)","Skin Care",,Yes,0.00,46.00,0.00,
31,MSK27,"Smart Tone - Color Control Correction Cream SPF30 (15g)","Skin Care",,Yes,0.00,152.00,0.00,
32,MSK30,"White Brightening Moisture Cream (15g)","Skin Care",,Yes,0.00,132.00,0.00,
33,MSK31,"Oil Control Pore Refining Mattifier (15g)","Skin Care",,Yes,0.00,95.00,0.00,
34,NCS01,"Stress Manager - Swiss Rejuvenating Oil (30ml) + Biovegetal Relaxing Mask ( 75g)","Skin Care","Neurocosmetic Set",Yes,0.00,499.00,0.00,
35,NEO11,"YLANG YLANG OIL",,,Yes,0.00,0.00,0.00,
36,NEO31,"EUCALYPTUS OIL ( 100ml)",,,Yes,0.00,0.00,0.00,
37,P00001,"Biovegetal Relaxing Mask (75g) + Stress Manager - Swiss Rejuvenating Oil (30ml)","Skin Care",,Yes,0.00,0.00,0.00,
38,P00002,"Cleanser / Toner","Skin Care",,Yes,0.00,0.00,0.00,
39,P00003,"3 for RM60","Skin Care",,Yes,0.00,0.00,0.00,
40,P00004,"Swiss Kit RM60","Skin Care",,Yes,0.00,0.00,0.00,
41,P00005,"BB Vanity Pouch",,,Yes,0.00,0.00,0.00,
42,P00007,"EYE ELIXIRS PEARL CAPSULE EYE CREAM (100ml)","Skin Care","Eye Elixirs",Yes,0.00,450.00,0.00,
43,P00009,"GLOW & FAIR LIMITED EDITION SET","Skin Care",,Yes,0.00,499.00,0.00,
44,P00010,"MICRO-MOLECULE GENTLE CLEANSING SOLUTION","Skin Care",Cleansers,Yes,82.00,82.00,0.00,
45,P00012,"ACTIVATED ALPINE SPRING WATER","Skin Care",,Yes,0.00,0.00,0.00,
46,P00013,"B&B CERAMIDES BOOSTING MOIST CREAM ","Skin Care",,Yes,0.00,220.00,0.00,
47,P00018,"P-Skin Hydrating Hyaluronic Acid Ampoule  ","Skin Care",AMPOULES,Yes,0.00,0.00,0.00,
48,P00019,"Skin Refining Bakuchiol Ampoule ","Skin Care",AMPOULES,Yes,0.00,0.00,0.00,
49,P00020,"Skin Defining Peptides Ampoule ","Skin Care",AMPOULES,Yes,0.00,0.00,0.00,
50,P00022,"Multi-Action Cleansing Milk (200ml)","Skin Care",Cleansers,Yes,0.00,180.00,0.00,
51,P00023,"POMEGRANATE INTENSE HYDRATION CREAM (50G)","Skin Care",,Yes,186.00,186.00,0.00,
52,P00024,"ULTIMATE CONTOUR REJ MASK","Skin Care",,Yes,0.00,0.00,0.00,
53,P00025,"DERMA PEN W/ LED","Skin Care",,Yes,650.00,650.00,650.00,
54,P00027,"T VIBRATION MASSAGER","Skin Care",,Yes,325.00,325.00,325.00,
55,P00028,"CHRISTMAS SET 1 - SKIN PREPARATION SET(A) MULTI ACTION CLEANSING MILK 200ML (B) EXTRA MILD CLEANSING MILK ML (C) DERMAZULEN SOOT","Skin Care",,Yes,460.00,460.00,0.00,
