
"Service List"
#,Code,Name,Section,Category,"Processing Time",Published,"Cost (MYR)","Price (MYR)","Lowest Price (MYR)","Commission Type","Service Commission Type"
1,"11.11 Opening Anti-Blue","Anti-Blue Light Facial",FACIAL,,0,Yes,0.00,300.00,0.00,Facial,Facial
2,"11.11 Opening Fat Loss","Permanent Fat Loss",SLIMMING,"Body Slimming",0,Yes,0.00,288.00,0.00,Slimming,Slimming
3,"11.11 Opening Muscle Gain","Muscle Gain Treatment",SLIMMING,,0,Yes,0.00,288.00,0.00,Slimming,Slimming
4,"11.11 Opening Pigmentation",Pigmentation,FACIAL,"Face Treatment",0,Yes,0.00,288.00,0.00,Facial,Facial
5,"11.11 Sales","1st Trial Picojoie Laser",FACIAL,"Face Treatment",0,Yes,0.00,99.00,0.00,Facial,Facial
6,"11.11 Sales Slimming","Mummy Pouch Flabby Muscle",SLIMMING,"Body Slimming",0,Yes,0.00,99.00,0.00,Slimming,Slimming
7,B00002-M,"ExpreSculpt Deep Muscle Toning",SLIMMING,"Body Toning",60,Yes,0.00,800.00,0.00,Slimming,Slimming
8,BD-AM-120,"Aroma Warm Oil Body Massage 120mins",,,120,Yes,0.00,120.00,0.00,,
9,BD-AM-60,"Aroma Warm Oil Body Massage",,,60,Yes,0.00,120.00,0.00,,
10,BD-AM-90,"Aroma Warm Oil Body Massage 90mins",,,90,Yes,0.00,160.00,0.00,,
11,BD-GCRF,"GlacialContour Non Surgical Fat Freeze",SLIMMING,"Body Slimming",60,Yes,0.00,800.00,0.00,Slimming,Slimming
12,BD-HSP,"Hand SPA",,,60,Yes,0.00,100.00,0.00,,
13,BD-SM-120,"Stress Release Body Massage 120mins",,,120,Yes,0.00,200.00,0.00,,
14,BD-SM-60,"Stress Release Body Massage 60mins",,,60,Yes,0.00,130.00,0.00,,
15,BD-SM-90,"Stress Release Body Massage 90mins",,,90,Yes,0.00,170.00,0.00,,
16,"Body Fat / Shape","Selective Part Body Fat/ Shape Treatment",SLIMMING,,0,Yes,0.00,800.00,0.00,,
17,Consultation,"Wellness Consultation",,,0,Yes,0.00,0.00,0.00,,
18,E00003-PWP,"Eye-Classi+B19:J20c Treatment (Dark Circles / Bags) with Machine","EYE TREATMENT","Eye Treatment",45,Yes,0.00,140.00,0.00,,"Eye Treatment Commission"
19,E00004-PWP,"Eye-Classic Treatment (Fine Lines / Wrinkles) with machine","EYE TREATMENT","Eye Treatment",45,Yes,0.00,140.00,0.00,,"Eye Treatment Commission"
20,F00001,"Classic Intensive Clarifying Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,280.00,0.00,,Facial
21,F00002,"Classic Absolute Firming Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,380.00,0.00,,Facial
22,F00004,"Classic Fair Skin Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,380.00,0.00,,Facial
23,F00005,"Classic Vitamin Hydration Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,280.00,0.00,,Facial
24,F00006,"Hydration & Immune Therapy – H I T",FACIAL,"Face Treatment",60,Yes,0.00,280.00,0.00,,Facial
25,F00007,"Classic Biovegetal Relaxing Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,380.00,0.00,,Facial
26,F00008-M,"Skin Luxe Treatment – 3D Gold Caviar Peptide Firming with machine",FACIAL,"Face Treatment",90,Yes,0.00,680.00,0.00,,Facial
27,F00009,"Skin Luxe Treatment – Rose Rutin Peptide Brightening",FACIAL,"Face Treatment",60,Yes,0.00,580.00,0.00,,Facial
28,F00010,"Super Oxygen Skin Fitness Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,480.00,0.00,,Facial
29,F00011,"Jubilation Skin Fitness Facial Treatment",FACIAL,"Face Treatment",60,Yes,0.00,480.00,0.00,,Facial
30,F00013-PWP,"Essential Post Care Treatment with machine",FACIAL,"Face Treatment",60,Yes,0.00,100.00,0.00,,Facial
31,F00014-P,"Picojoie Laser Treatment with essential post care ( Doucle Mask )",FACIAL,"Laser Treatment",30,Yes,0.00,1300.00,0.00,,
32,FA-CAF,"Classic Absolute Firming Facial Treatment with Machine",FACIAL,"Face Treatment",90,Yes,0.00,380.00,0.00,,Facial
33,FA-CBR,"Classic Biovegetal Relaxing Facial Treatment with Machine",FACIAL,"Face Treatment",90,Yes,0.00,480.00,0.00,,Facial
34,FA-CFS,"Classic Fair Skin Facial Treatment with Machine",FACIAL,"Face Treatment",90,Yes,0.00,480.00,0.00,,Facial
35,FA-CIC,"Classic Intensive Clarifying Facial Treatment With Machine",FACIAL,"Face Treatment",90,Yes,0.00,380.00,0.00,,Facial
36,FA-CVH,"Classic Vitamin Hydration Facial Treatment with Machine",FACIAL,"Face Treatment",90,Yes,0.00,380.00,0.00,,Facial
37,FA-DSD,"Deep Skin Detoxication with Tri- Machine",FACIAL,"Face Treatment",30,Yes,0.00,180.00,0.00,,Facial
38,FA-EMF,"Essential Manual Facial ",FACIAL,"Face Treatment",60,Yes,0.00,180.00,0.00,,Facial
39,FA-EPC,"Essential Post Care Treatment with machine",FACIAL,"Face Treatment",60,Yes,0.00,280.00,0.00,,Facial
40,FA-HBF,"Hydra-Brightening Facial",FACIAL,,60,Yes,0.00,180.00,0.00,,
41,FA-HIT,"Hydration & Immune Therapy – H I T Treatment with Machine",FACIAL,"Face Treatment",90,Yes,0.00,380.00,0.00,,Facial
42,FA-JSF,"Jubilation Skin Fitness Facial Treatment with machine",FACIAL,"Face Treatment",90,Yes,0.00,580.00,0.00,,Facial
43,FA-SLG,"Skin Luxe Treatment – 3D Gold Caviar Peptide Firming",FACIAL,"Face Treatment",60,Yes,0.00,580.00,0.00,,Facial
44,FA-SLR,"Skin Luxe Treatment – Rose Rutin Peptide Brightening with machine",FACIAL,"Face Treatment",90,Yes,0.00,680.00,0.00,,Facial
45,FA-SOS,"Super Oxygen Skin Fitness Facial Treatment with machine",FACIAL,"Face Treatment",90,Yes,0.00,580.00,0.00,,Facial
46,"FE-ECT 1","Eye-Classic Treatment (Fine Lines / Wrinkles) with machine",FACIAL,"Eye Treatment",45,Yes,0.00,280.00,0.00,,"Eye Treatment Commission"
47,"FE-ECT 2","Eye-Classi+B19:J20c Treatment (Dark Circles / Bags) with Machine",FACIAL,"Eye Treatment",45,Yes,0.00,280.00,0.00,,"Eye Treatment Commission"
48,FN-NCT,"Neck-Classic Treatment",FACIAL,"Face Treatment",45,Yes,0.00,198.00,0.00,,Facial
49,"Laser Home Care","Past Picojoie Laser Home Care","Skin Care",,0,Yes,0.00,906.00,0.00,,
50,"Picojoie Laser 10","Picojoie Laser Rejuvenation Treatment ",FACIAL,,90,Yes,0.00,490.00,0.00,,
51,"Review Consultation ","Standard Screening & Review Consultation ",,,0,Yes,0.00,500.00,0.00,,
52,S00001,"Danpeel / Psoriasis Treatment",,,0,Yes,0.00,480.00,0.00,,
53,S00002,"Picojoie Laser Anti Blue Light Therapy",FACIAL,,30,Yes,0.00,0.00,0.00,,Facial
54,S00003,Accupunture,TCM,,30,Yes,0.00,180.00,0.00,,
55,S00005,"Picojoie Laser",FACIAL,,0,Yes,0.00,188.00,0.00,,Slimming
56,S00006,"COSMETIC SWISS FACIAL ",FACIAL,,0,Yes,188.00,188.00,0.00,,
57,S00007,"Cosmetic Accupunture ",TCM,,0,Yes,188.00,188.00,0.00,,
58,S00008,"BODYFIT ACCUPUNCTURE",TCM,,0,Yes,188.00,188.00,0.00,,
59,S00011,"Unlimited Body Slimming Sessions",SLIMMING,"Body Slimming",0,Yes,999.00,999.00,0.00,,
60,S00012,"Slimming Treatment x 15  @1299 ",SLIMMING,,0,Yes,0.00,1299.00,0.00,,
61,S00013,"DELUXE EYE CONTOUR TREATMENT","EYE TREATMENT","Eye Treatment",0,Yes,0.00,488.00,0.00,,
62,S00014,"PREMIUM BODY DE-FAT MESO","EYE TREATMENT",,0,Yes,0.00,800.00,0.00,,
63,S00015,"BACK CIAL",,,0,Yes,0.00,198.00,0.00,,
64,S00016,"VITAMIN C DRIP",TCM,,0,Yes,0.00,150.00,0.00,,
65,S00017,"MEDI AESTHETIC ( SNOW WHITE)",SLIMMING,,0,Yes,800.00,800.00,0.00,,
66,S00018,"MEDI AESTHETIC ( WHOLE BODY SLIMMING)",SLIMMING,,0,Yes,800.00,800.00,0.00,,
67,S00019,"MEDI AESTHETIC ( TARGETED BODY SLIMMING)",SLIMMING,,0,Yes,700.00,700.00,0.00,,
68,S00020,"MEDI AESTHETIS ( FACIAL REJUVENATION)",FACIAL,,0,Yes,700.00,700.00,0.00,,
69,S00021,"SLIMMING X 30",SLIMMING,,0,Yes,2100.00,2100.00,0.00,,
70,S00022,"SLIMMING X45 ",SLIMMING,,0,Yes,2900.00,2900.00,0.00,,
71,S00023,"CHRISMAS FLEXI PACKAGE","FLEXI BUDGET",,0,Yes,0.00,2800.00,0.00,,
72,S00027,"CASH VOUCHER",,,0,Yes,300.00,300.00,0.00,,
73,S00028,"FACIAL PACKAGES X3",FACIAL,,0,Yes,688.00,688.00,0.00,,
74,S00029,"FACIAL PACKAGES X 6",FACIAL,,0,Yes,1288.00,1288.00,0.00,,
75,S00030,"FACIAL PACKAGES X 8",FACIAL,,0,Yes,1688.00,1688.00,0.00,,
76,S00031,"FLEXI PACKAGE ","FLEXI BUDGET",,0,Yes,0.00,2900.00,0.00,,
77,S00032,"I-Oxypico ","1ST TRIAL",,0,Yes,198.00,198.00,0.00,,
78,S00033," FACIAL PKG X 3",FACIAL,,0,Yes,688.00,688.00,0.00,,
79,S00035,"Package A -  Comprehensive Blood Test",,,0,Yes,0.00,348.50,0.00,,
80,S00037,"1st TRIAL Stem Cell Growth Factor Elixir NP RM 3800","1ST TRIAL",,60,Yes,2800.00,2800.00,0.00,,
81,S00041,"SLIMMING (TCM)",TCM,,60,Yes,188.00,188.00,0.00,,
82,S00042,"Hormonal Inbalance ( TCM)",TCM,,90,Yes,188.00,188.00,0.00,,
83,S00043,"Bring Back Your Honeymoon Moments ( TCM)",TCM,,60,Yes,188.00,188.00,0.00,,
84,S00044,"Facial + Guasa+ Bo Jin","TCM + FACIAL",,1,Yes,188.00,188.00,0.00,,
85,S00045,"THERAPEUTIC WELLNESS FACIAL ","1ST TRIAL",,0,Yes,0.00,328.00,0.00,,
86,S00046,"CLASSIC WELLNESS FACIAL","1ST TRIAL",,60,Yes,0.00,198.00,0.00,,
87,S00047,"1ST TRIAL THERAPEUTIC EYE TREATMENT ","1ST TRIAL","Eye Treatment",60,Yes,0.00,198.00,0.00,,
88,S00048,DEPOSIT,,,0,Yes,0.00,0.00,0.00,,
