Date,Revenue,Transaction_Count,Year,Month,Month_Name,Day_of_Week,Day_Name,Quarter,Is_Weekend,MA_7,MA_30
2021-01-06,760.0,2,2021,1,January,2,Wednesday,1,0,760.0,760.0
2021-10-07,1160.0,1,2021,10,October,3,Thursday,4,0,960.0,960.0
2021-10-09,5448.0,3,2021,10,October,5,Saturday,4,1,2456.0,2456.0
2021-10-10,1360.0,2,2021,10,October,6,Sunday,4,1,2182.0,2182.0
2021-10-11,760.0,1,2021,10,October,0,Monday,4,0,1897.6,1897.6
2021-10-12,14488.0,4,2021,10,October,1,Tuesday,4,0,3996.0,3996.0
2021-10-14,4780.0,2,2021,10,October,3,Thursday,4,0,4108.0,4108.0
2021-10-15,4800.0,1,2021,10,October,4,Friday,4,0,4685.142857142857,4194.5
2021-10-16,380.0,1,2021,10,October,5,Saturday,4,1,4573.714285714285,3770.6666666666665
2021-10-17,4412.0,4,2021,10,October,6,Sunday,4,1,4425.714285714285,3834.8
2021-10-19,11816.0,2,2021,10,October,1,Tuesday,4,0,5919.428571428572,4560.363636363636
2021-10-20,0.0,1,2021,10,October,2,Wednesday,4,0,5810.857142857143,4180.333333333333
2021-10-21,720.0,1,2021,10,October,3,Thursday,4,0,3844.0,3914.153846153846
2021-10-22,5300.0,1,2021,10,October,4,Friday,4,0,3918.285714285714,4013.1428571428573
2021-10-25,4176.0,5,2021,10,October,0,Monday,4,0,3829.1428571428573,4024.0
2021-10-26,47416.0,3,2021,10,October,1,Tuesday,4,0,10548.57142857143,6736.0
2021-10-29,4972.0,2,2021,10,October,4,Friday,4,0,10628.57142857143,6632.235294117647
2021-10-30,4456.0,2,2021,10,October,5,Saturday,4,1,9577.142857142857,6511.333333333333
2021-10-31,28888.0,7,2021,10,October,6,Sunday,4,1,13704.0,7689.0526315789475
2021-11-02,580.0,2,2021,11,November,1,Tuesday,4,0,13684.0,7333.6
2021-11-03,280.0,1,2021,11,November,2,Wednesday,4,0,12966.857142857143,6997.714285714285
2021-11-04,760.0,2,2021,11,November,3,Thursday,4,0,12478.857142857143,6714.181818181818
2021-11-05,180.0,3,2021,11,November,4,Friday,4,0,5730.857142857143,6430.086956521739
2021-11-06,576.0,2,2021,11,November,5,Saturday,4,1,5102.857142857143,6186.166666666667
2021-11-07,9548.0,8,2021,11,November,6,Sunday,4,1,5830.285714285715,6320.64
2021-11-08,3254.0,4,2021,11,November,0,Monday,4,0,2168.285714285714,6202.692307692308
2021-11-09,734.0,4,2021,11,November,1,Tuesday,4,0,2190.285714285714,6000.148148148148
2021-11-10,8000.0,1,2021,11,November,2,Wednesday,4,0,3293.1428571428573,6071.571428571428
2021-11-11,4960.0,14,2021,11,November,3,Thursday,4,0,3893.1428571428573,6033.241379310345
2021-11-12,2592.0,5,2021,11,November,4,Friday,4,0,4237.714285714285,5918.533333333334
2021-11-13,6216.0,9,2021,11,November,5,Saturday,4,1,5043.428571428572,6100.4
2021-11-14,12770.0,10,2021,11,November,6,Sunday,4,1,5503.714285714285,6487.4
2021-11-16,0.0,1,2021,11,November,1,Tuesday,4,0,5038.857142857143,6305.8
