Service,Total_Revenue,Total_Treatments,Transaction_Count,RPT,Segment
Platinum - Flexi Budget Values,8500.0,1.0,1,8500.0,Premium (>800)
GOLD Flexi Budget Values,12000.0,2.0,2,6000.0,Premium (>800)
Stem Cell Growth Factor Elixir ( X10) RM 1.8K EACH,12000.0,2.0,2,6000.0,Premium (>800)
SLIMMING X 20,4098.0,1.0,1,4098.0,Premium (>800)
GLOW WITH PRIDE PROMO,3100.0,1.0,1,3100.0,Premium (>800)
STEM CELL GF+,6000.0,2.0,2,3000.0,Premium (>800)
1st TRIAL Stem Cell Growth Factor Elixir NP RM 3800,2800.0,1.0,1,2800.0,Premium (>800)
EMPulseX (EMS),1894.0,1.0,1,1894.0,Premium (>800)
HIFU ,5683.0,6.0,5,947.1666666666666,Premium (>800)
Stem Cell GF+ (Staff) ,1800.0,2.0,2,900.0,Premium (>800)
FACIAL PACKAGES X 6,1976.0,3.0,3,658.6666666666666,Mid-tier (300-800)
 FACIAL PKG X 3,2064.0,4.0,4,516.0,Mid-tier (300-800)
Package A -  Comprehensive Blood Test,1464.45,3.0,3,488.15000000000003,Mid-tier (300-800)
THERAPAUTIC FACIAL + HIFU (CNY/Valentine’s PROMO),7968.0,17.0,16,468.70588235294116,Mid-tier (300-800)
THERAPAUTIC WELLNESS FACIAL PACKAGE ( 10+1),4560.0,10.0,1,456.0,Mid-tier (300-800)
HIFU,1799.0,4.0,2,449.75,Mid-tier (300-800)
FLEXI PACKAGE ,14900.0,35.0,16,425.7142857142857,Mid-tier (300-800)
Skin Luxe Treatment – 3D Gold Caviar Peptide Firming with machine,3400.0,8.0,6,425.0,Mid-tier (300-800)
Picojoie Laser Treatment with essential post care ( Doucle Mask ),2420.0,6.0,4,403.3333333333333,Mid-tier (300-800)
THERAPEUTIC WELLNESS FACIAL ,15784.0,41.0,32,384.9756097560976,Mid-tier (300-800)
Screening and Consultations,760.0,2.0,2,380.0,Mid-tier (300-800)
Classic Biovegetal Relaxing Facial Treatment,380.0,1.0,1,380.0,Mid-tier (300-800)
THERAPAUTIC WELLNESS,2648.0,7.0,7,378.2857142857143,Mid-tier (300-800)
Skin Luxe Treatment – Rose Rutin Peptide Brightening with machine,680.0,2.0,2,340.0,Mid-tier (300-800)
PREMIUM BODY DE-FAT MESO,3400.0,11.0,6,309.09090909090907,Mid-tier (300-800)
Picojoie Laser Rejuvenation Treatment ,2450.0,8.0,8,306.25,Mid-tier (300-800)
Classic Biovegetal Relaxing Facial Treatment with Machine,1820.0,6.0,6,303.3333333333333,Mid-tier (300-800)
