#,Code,Name,Section,Category,Processing Time,Published,Cost (MYR),Price (MYR),Lowest Price (MYR),Commission Type,Service Commission Type
1,11.11 Opening Anti-Blue,Anti-Blue Light Facial,FACIAL,,0,Yes,0.0,300.0,0.0,Facial,Facial
2,11.11 Opening Fat Loss,Permanent Fat Loss,SLIMMING,Body Slimming,0,Yes,0.0,288.0,0.0,Slimming,Slimming
3,11.11 Opening Muscle Gain,Muscle Gain Treatment,SLIMMING,,0,Yes,0.0,288.0,0.0,Slimming,Slimming
4,11.11 Opening Pigmentation,Pigmentation,FACIAL,Face Treatment,0,Yes,0.0,288.0,0.0,Facial,Facial
5,11.11 Sales,1st Trial Picojoie Laser,FACIAL,Face Treatment,0,Yes,0.0,99.0,0.0,Facial,Facial
6,11.11 Sales Slimming,Mummy Pouch Flabby Muscle,SLIMMING,Body Slimming,0,Yes,0.0,99.0,0.0,Slimming,Slimming
7,B00002-M,ExpreSculpt Deep Muscle Toning,SLIMMING,Body Toning,60,Yes,0.0,800.0,0.0,Slimming,Slimming
8,BD-AM-120,Aroma Warm Oil Body Massage 120mins,,,120,Yes,0.0,120.0,0.0,,
9,BD-AM-60,Aroma Warm Oil Body Massage,,,60,Yes,0.0,120.0,0.0,,
10,BD-AM-90,Aroma Warm Oil Body Massage 90mins,,,90,Yes,0.0,160.0,0.0,,
11,BD-GCRF,GlacialContour Non Surgical Fat Freeze,SLIMMING,Body Slimming,60,Yes,0.0,800.0,0.0,Slimming,Slimming
12,BD-HSP,Hand SPA,,,60,Yes,0.0,100.0,0.0,,
13,BD-SM-120,Stress Release Body Massage 120mins,,,120,Yes,0.0,200.0,0.0,,
14,BD-SM-60,Stress Release Body Massage 60mins,,,60,Yes,0.0,130.0,0.0,,
15,BD-SM-90,Stress Release Body Massage 90mins,,,90,Yes,0.0,170.0,0.0,,
16,Body Fat / Shape,Selective Part Body Fat/ Shape Treatment,SLIMMING,,0,Yes,0.0,800.0,0.0,,
17,Consultation,Wellness Consultation,,,0,Yes,0.0,0.0,0.0,,
18,E00003-PWP,Eye-Classi+B19:J20c Treatment (Dark Circles / Bags) with Machine,EYE TREATMENT,Eye Treatment,45,Yes,0.0,140.0,0.0,,Eye Treatment Commission
19,E00004-PWP,Eye-Classic Treatment (Fine Lines / Wrinkles) with machine,EYE TREATMENT,Eye Treatment,45,Yes,0.0,140.0,0.0,,Eye Treatment Commission
20,F00001,Classic Intensive Clarifying Facial Treatment,FACIAL,Face Treatment,60,Yes,0.0,280.0,0.0,,Facial
21,F00002,Classic Absolute Firming Facial Treatment,FACIAL,Face Treatment,60,Yes,0.0,380.0,0.0,,Facial
