
"Salon Product List"
#,Code,Name,Section,Category,Published,"For Sale","Cost (MYR)","Price (MYR)","Lowest Price (MYR)","Commission Type"
1,"CM250 - PRO","RELIEVE - Calming Tea Mask (B&B)",,"Specialty Mask",Yes,No,0.00,0.00,0.00,
2,CM251-PRO,"REVIVE- Nourishing Fruit Mask (B&B)",,"Specialty Mask",Yes,No,0.00,0.00,0.00,
3,"CM252 - PRO","REDUCE-Purifying Bamboo Mask ( B&B)",,"Specialty Mask",Yes,No,0.00,0.00,0.00,
4,"CM253 -PRO","REFRESH- Hydrating Cottonseed Mask (B&B)",,"Specialty Mask",Yes,No,0.00,0.00,0.00,
5,"CM254 -PRO","RENEW- Brightening Graphene Mask",,"Specialty Mask",Yes,No,0.00,0.00,0.00,
6,GI15,"BB Ball Shape Dolphin Guasha",,,Yes,Yes,168.00,168.00,0.00,
7,IAA01-500,"Deep Cleansing Cleanser (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
8,IAA02-500,"Purifying Lotion (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
9,IAA03,"Oil Control Pore Refining Mattifier (200g)","Skin Care","Professional Moisturizers",Yes,No,0.00,620.00,0.00,
10,IAP07,"Fair Skin Intensive Mask (200g)","Skin Care","Creamy Masks",Yes,No,0.00,410.00,0.00,
11,IBO01,"Stress Manager - Swiss Rejuvenating Oil (100ml)","Skin Care","Swiss Calm",Yes,No,0.00,599.00,0.00,
12,ICC01,"SKIN SAVIOUR SOOTHING SERUM",,"Swiss Calm",Yes,No,0.00,0.00,0.00,
13,ICC02,"EXTRA CALMING SKIN RELIEF CREAM",,"Swiss Moisture Balance",Yes,No,0.00,0.00,0.00,
14,ICM03,"Absolute Firming Mask (200g)","Skin Care","Creamy Masks",Yes,No,0.00,410.00,0.00,
15,ICM04,"Ultra Soothing Mask (200g)","Skin Care","Creamy Masks",Yes,No,0.00,410.00,0.00,
16,ICM05,"Vitamin Hydration Mask (200g)","Skin Care","Creamy Masks",Yes,No,0.00,410.00,0.00,
17,ICM07,"Intensive Clarifying Mask (200g)","Skin Care","Creamy Masks",Yes,No,0.00,410.00,0.00,
18,ICM103,"ABSOLUTE FIRMING MASK",,"Creamy Masks",Yes,No,0.00,0.00,0.00,
19,ICM60,"Biovegetal Relaxing Mask (200g)","Skin Care","Creamy Masks",Yes,No,0.00,410.00,0.00,
20,ICT03-500,"Soft Make-Up Remover Facial Gel (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
21,ICT04-500,"Smooth Balancing Tonic (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
22,IDC01,"DOCTOR OXYGEN SKIN REPAIR CONCENTRATE",,"Future Oxygen",Yes,Yes,755.00,755.00,0.00,
23,IDC02,"Doctor Defendo - Phenomenal Skin Protect Cream (200g)","Skin Care","Professional Moisturizers",Yes,No,0.00,810.00,0.00,
24,IDC08,"Age-Less Time Reversal Skin System (5 x Sachet + 2 x 5g)","Skin Care",Swissceuticals,Yes,No,0.00,500.00,0.00,
25,IEE88,"EYE LIFT CREAM",,"Eye Elixirs",Yes,No,0.00,0.00,0.00,
26,IEM01,"Caviar-Peptide Essence Mask (10 sachets / box)","Skin Care","Specialty Mask",Yes,No,0.00,680.00,0.00,
27,IEM03,"W3 Amino Acid Complex Mask (10 sachets / box)","Skin Care","Specialty Mask",Yes,No,0.00,680.00,0.00,
28,IFM01S,"Super Oxygen - Skin Fitness Mask (130g)","Skin Care","3 in 1 leave-on mask",Yes,No,0.00,378.00,0.00,
29,IFM028,"JUBILATION MASK",,"3 in 1 leave-on mask",Yes,No,0.00,0.00,0.00,
30,IFM02S,"Jubilation - Skin Wellness Mask (130g)","Skin Care","3 in 1 leave-on mask",Yes,No,0.00,378.00,0.00,
31,IFO01,"Future Oxygen - Foaming Aqueous Skin Concentrate (150ml)","Skin Care","Future Oxygen",Yes,No,0.00,950.00,0.00,
32,IIE02,"Anti-Fatigue Eye Contour Gel (100ml)","Skin Care","Intensive Eye Contour Treatment",Yes,No,0.00,450.00,0.00,
33,IIE88,"Eye Lift Cream (100ml)","Skin Care","Intensive Eye Contour Treatment",Yes,No,0.00,450.00,0.00,
34,IIE99,"Essential Eye Concentrate (100ml)","Skin Care","Intensive Eye Contour Treatment",Yes,No,0.00,518.00,0.00,
35,ILC01,"Amazing Luminance - Holistic Oxygenating Cellular Cream (150g)","Skin Care","Professional Moisturizers",Yes,No,0.00,1000.00,0.00,
36,IMD01,"Purifying & Oxygenating Modellage Cream (500g)","Skin Care",Massage,Yes,No,0.00,420.00,0.00,
37,IMD03,"Brightening Arbutin Modellage Gelée (450g)","Skin Care",Massage,Yes,No,0.00,420.00,0.00,
38,IMD04,"Nourishing Punarnava Modellage Cream (450g)","Skin Care",Massage,Yes,No,0.00,420.00,0.00,
39,IMO01,"IONTO GOLD CAVIAR CREAM ESSENCE",,"3 in 1 cream essence",Yes,No,0.00,0.00,0.00,
40,IMO02,"IONTO ROSE CREAM ESSENCE",,"3 in 1 cream essence",Yes,No,0.00,0.00,0.00,
41,IMS01,"Ionto Gold-Caviar Cream Essence (150g)","Skin Care","3 in 1 cream essence",Yes,No,0.00,596.00,0.00,
42,IMS02,"Ionto Rose Cream Essence (150g)","Skin Care","3 in 1 cream essence",Yes,No,0.00,596.00,0.00,
43,IMS03,"Ionto Gold-Caviar Cream Essence (50g)","Skin Care","3 in 1 cream essence",Yes,No,0.00,260.00,0.00,
44,IMS04,"Ionto Rose Cream Essence (50g)","Skin Care","3 in 1 cream essence",Yes,No,0.00,260.00,0.00,
45,INV02,"Gorgeous - Multi Defence Total Protection (200g)","Skin Care","Professional Moisturizers",Yes,No,0.00,980.00,0.00,
46,INV03,"24 Hours Hydro Matte Gel (100ml)","Skin Care","Professional Moisturizers",Yes,No,0.00,480.00,0.00,
47,IOS06-500,"New Self Foaming Face Wash (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
48,IOS08-500,"Alpine Refreshing Toner (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
49,IPL04,"Biovegetal Enzyme Peeling (200g)","Skin Care",Exfoliation,Yes,No,0.00,320.00,0.00,
50,IPL88,"Radiance - Natural Polishing Refiner (200ml)","Skin Care",Exfoliation,Yes,No,0.00,420.00,0.00,
51,IPL99,"Clarity - Brightening Cleansing Exfoliator (200ml)","Skin Care",Exfoliation,Yes,No,0.00,330.00,0.00,
52,ISE15,"Fair Skin Complex (30ml)","Skin Care","Skin Complexes",Yes,No,0.00,270.00,0.00,
53,ISE18,"Hydrating Chitosan Complex (30ml)","Skin Care","Skin Complexes",Yes,No,0.00,236.00,0.00,
54,ISE19,"Skin Restructuring Fresh Cell Complex (30ml)","Skin Care","Skin Complexes",Yes,No,0.00,270.00,0.00,
55,ISP01,"SMART TONE",,"Face Treatment",Yes,No,0.00,0.00,0.00,
56,ISP88,"Shield Nude - Holistic Solar Defence Fluid SPF30 + EPF (100ml)","Skin Care","Sun Protection",Yes,No,0.00,380.00,0.00,
57,ISS01,"Vital Serum Mild Skin Fluid (200g)","Skin Care","Professional Moisturizers",Yes,No,0.00,620.00,0.00,
58,ISS02-500,"Extra Mild Cleansing Milk (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
59,ISS03-500,"Dermazulen Soothing Lotion (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
60,IWS03-500,"W3 Active Cleanser (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
61,IWS04-500,"W3 Conditioning Toner (500ml)","Skin Care","Cleansing & Toning",Yes,No,0.00,265.00,0.00,
62,IWS05,"White Brightening Moisture Cream (200g)","Skin Care","Professional Moisturizers",Yes,No,0.00,820.00,0.00,
63,L00001,"Micro Pearls Bath Milk ",,,Yes,No,121.00,121.00,0.00,
64,L00002,"DIAMOND ULTRA-SMOOTH MASK -SACHER (30ML-1PCS)","Skin Care",Masks,Yes,No,60.00,60.00,0.00,
65,L00003,"PLATINUM ULTEA-LIFT MASK -SACHET (30ML-1PCS)",,,Yes,No,60.00,60.00,0.00,
66,L00010,"WHOLISTIC PLUS - 50G",,,Yes,No,0.00,0.00,0.00,
67,L00011,"ULTIMATE EYE CONTOUR REJ. MASK ","Skin Care","Eye Treatment",Yes,No,0.00,0.00,0.00,
68,L00012,"ACIVATED DERMAZULEN SOOTHING LOTION SPRAY (10ML)",,,Yes,No,0.00,0.00,0.00,
69,MD098,"MICRONIZED WNZYME EXFOLIATING REFINER ( B&B)",,"Specialty Mask",Yes,No,0.00,0.00,0.00,
70,MDO98,"MICRONIZED ENZYME EXFOLIATING REFINER ( B&B)",,Exfoliator,Yes,No,0.00,0.00,0.00,
71,NISE08,"Plant Extract Complex (30ml)","Skin Care","Skin Complexes",Yes,No,0.00,236.00,0.00,
72,NISE09,"Impure Skin Complex (30ml)","Skin Care","Skin Complexes",Yes,No,0.00,236.00,0.00,
