ds,yhat,yhat_lower,yhat_upper
2024-11-22,2646.1084955311585,-7042.86417248788,10597.920925950684
2024-11-23,4427.577501699372,-3343.981605612846,13123.838805322754
2024-11-24,3228.674030464002,-5144.912773269786,11597.709666131
2024-11-25,3789.2350122762546,-5220.869385398328,12426.371364619694
2024-11-26,2422.04184884174,-6015.904265159442,10656.288577393534
2024-11-27,3932.304029224417,-4471.556995923748,12601.319207083556
2024-11-28,4528.7884306164415,-4116.348179598649,13346.410222938472
2024-11-29,5713.397139694757,-2874.1619564937555,13864.304431230057
2024-11-30,7798.968990106012,-905.7570104379118,16349.903121908523
2024-12-01,6640.527883400186,-1979.0468061505462,15479.713293389945
2024-12-02,7138.253310882467,-1707.2296670570408,15822.66322844042
2024-12-03,5494.976741871124,-2733.9423844930348,14224.565661778724
2024-12-04,6280.249890835114,-2563.4666388274836,14691.205955879348
2024-12-05,5567.299170545601,-3232.5832934431332,14329.208037468561
2024-12-06,5118.293969592073,-3631.608413660754,14182.314971566138
2024-12-07,5789.065411955082,-2866.0241559580054,14415.132562512266
2024-12-08,3886.6902624432364,-4761.416104682729,12649.879455721286
2024-12-09,4403.992208611259,-3935.4444021801924,13028.463542024512
2024-12-10,3186.9246895604474,-5678.456412492751,11944.878980264764
2024-12-11,4378.253895673833,-3561.9260718540295,13161.13021990577
2024-12-12,3821.6249863072826,-4179.484026492758,12174.116552879212
2024-12-13,3395.095794550916,-5348.405191993167,11936.53927406465
2024-12-14,4179.74633311836,-4224.178022826654,12065.32206433477
2024-12-15,2536.647017878779,-5646.098865146213,11128.790590272965
2024-12-16,3342.4731503319213,-4777.161747449936,11275.719763893281
2024-12-17,2264.551738351312,-6213.028528018127,11089.488767851828
2024-12-18,3492.3297689730002,-6066.902044187613,11163.659471394401
2024-12-19,3064.6868362415134,-6032.701253595921,11462.91837274525
2024-12-20,3035.3006628216954,-5889.666911033089,12586.127833650811
2024-12-21,4388.918494244348,-4149.367666743421,12861.747737357136
2024-12-22,3135.5824027501135,-5047.877323432099,11659.659867977265
2024-12-23,3898.2076044002447,-4977.1584035500055,12778.545453220031
2024-12-24,2375.3393430581073,-6415.190824202462,11216.785735350071
2024-12-25,3177.8814477219307,-5009.945915061608,11431.20388049573
2024-12-26,2993.2944045778277,-6243.884561681318,11074.433299189659
2024-12-27,3796.3734264363065,-4635.63300895631,12030.463715397595
2024-12-28,6333.0775541547555,-2669.6405727147862,15060.780467843468
2024-12-29,6148.728018216517,-2011.365545686481,14875.768493572792
2024-12-30,7606.505156435956,-756.9939151687696,16325.702588776516
2024-12-31,6428.726777147768,-2297.5187100129606,14910.046935826427
2025-01-01,7428.542239562456,-880.7255430690499,16224.200980386473
2025-01-02,7308.293170767614,-1494.154035706551,16210.342847827998
2025-01-03,7837.359790460396,-85.28787034996384,16476.310561872102
2025-01-04,9524.781090471979,938.9187255503603,17953.51748821445
2025-01-05,7946.511662196166,-714.9974355103478,15882.177485781032
2025-01-06,7917.652356136577,-217.343879126574,16858.99127423597
2025-01-07,5730.2958244088595,-3927.780759492401,14733.298040244563
2025-01-08,6539.391479880714,-2343.017039372204,15760.160768724238
2025-01-09,6663.916976774118,-1246.0472650601346,15283.710789407902
2025-01-10,7649.679759559224,-1562.8962290604172,15956.131640258165
2025-01-11,9589.513909111884,462.1067995525368,18262.94309669635
2025-01-12,7980.510005068923,-1202.2066818282447,17283.137184303243
2025-01-13,7864.546948611066,-588.7197053523375,16562.59885065267
2025-01-14,5692.8061023912205,-3150.7097308707484,14345.696218756702
2025-01-15,6599.32513010189,-1828.4490754574747,15703.721053615362
2025-01-16,6706.3115968122665,-2041.4872557501792,15625.792560886042
2025-01-17,7486.329522685904,-856.8774061801527,15722.167341642078
2025-01-18,9179.36718883049,1301.13832113557,17107.646019797736
2025-01-19,7499.22685858453,-782.8784600587142,16302.213277970974
2025-01-20,7565.42711241378,-829.2845249838075,16129.766726076625
2025-01-21,5573.614162577873,-2977.88849630464,13805.800229512766
2025-01-22,6330.413839629405,-3104.445715985408,14835.113160668217
2025-01-23,5823.091340308522,-2688.531921156198,13887.3824097794
2025-01-24,5816.450961247961,-2520.839758294396,15325.455175912746
2025-01-25,7062.8456921249835,-1898.748653789552,16002.953660563202
2025-01-26,5601.695732415939,-2813.4235872662384,14149.086388029995
2025-01-27,6486.265504567018,-2371.727833725858,14738.48189335468
2025-01-28,5442.968224128195,-2610.2300810165066,13967.470508050854
2025-01-29,6836.330517272025,-1509.1963615445927,15299.996919006951
2025-01-30,6707.042039806527,-1485.2336222301724,15596.577427858887
2025-01-31,6965.154151358339,-1764.122292570978,15269.713958729322
2025-02-01,8329.709249270954,-712.2093408357475,16436.8130968935
2025-02-02,6785.923660656346,-904.5177496108417,16018.051815313509
2025-02-03,7151.319110951681,-673.6875454546273,16348.259775914441
2025-02-04,5028.0869854760385,-3967.847300941305,13802.409526059415
2025-02-05,5103.559060779227,-3565.2315144891495,13604.061590493491
2025-02-06,3769.8577255423784,-4843.751145234338,12936.793758844044
2025-02-07,3441.1383995957663,-5046.941674843556,11912.6639027897
2025-02-08,5080.784304139366,-3750.530040866802,13588.010104048662
2025-02-09,4228.556431557283,-4494.913956373972,12609.844210355835
2025-02-10,5233.532351431654,-3898.578362758394,14100.57512946324
2025-02-11,3452.108953927836,-4626.704791556155,12029.773138200993
2025-02-12,3698.135292663625,-4817.815735275285,12969.761036811324
2025-02-13,2574.072148448254,-5498.375273397487,11035.465609497473
2025-02-14,2574.2717143223344,-6035.771833486149,10847.621422423696
2025-02-15,4521.416322182384,-4429.323261836175,13112.526017267552
2025-02-16,3770.0220955718023,-4847.501001887154,12260.924936773019
2025-02-17,4718.764896209887,-3390.382695231862,13406.620702504217
2025-02-18,2929.089555979443,-5581.105625194659,11325.37426239098
2025-02-19,3413.3369984804604,-4642.572684159991,12350.383414753484
