Feature,Importance
TransactionCount_x_AvgValue,0.2863308
TransactionCount,0.118060306
Revenue_EMA_7,0.08029948
AvgRevenuePerEmployee,0.05668747
UniqueCustomers,0.0483467
IsPostHoliday,0.042430136
MonthEnd_x_Revenue,0.037708867
Revenue_RollingMax_7,0.036258996
StdTransactionValue,0.020887885
Revenue_RollingStd_30,0.019499423
Day_cos,0.016185278
DiscountRate,0.015785774
Revenue_RollingMean_7,0.015062865
Revenue_RollingStd_7,0.0123762665
UniqueCustomers_x_UniqueEmployees,0.012315996
UniqueEmployees,0.012248887
Year,0.012082487
AvgRevenuePerCustomer,0.010103645
Revenue_RollingMin_30,0.00960574
Weekend_x_Month,0.008845585
Revenue_EMA_30,0.008036821
Month_sin,0.0076797386
Month,0.0074368846
Revenue_RollingMean_14,0.0073955418
IsMonthStart,0.0073200646
DayOfWeek_sin,0.006470355
UniqueServices,0.005883466
AvgTransactionValue,0.0051862556
DiscountRate_x_IsWeekend,0.0048060906
Revenue_RollingMean_30,0.0047703558
ServiceDiversity,0.004653631
Day_sin,0.004512139
DayOfWeek_cos,0.0044600647
WeekOfYear,0.0043037403
TotalDiscount,0.003849039
IsWeekend,0.00376635
DayOfWeek,0.0035513628
ServiceDiversity_x_TransactionCount,0.0035136174
Revenue_Lag_7,0.0034824836
Revenue_RollingMax_30,0.00342759
Revenue_RollingStd_14,0.0033373642
Revenue_RollingMin_7,0.003103022
Revenue_Lag_30,0.0030165906
IsHoliday,0.0028333778
IsPreHoliday,0.002780288
Revenue_Lag_14,0.0024367499
Day,0.0019566265
Holiday_x_Weekend,0.0018332803
Month_cos,0.0014838424
IsMajorHoliday,0.0011883992
Quarter,0.00037055975
IsMonthEnd,3.177209e-05
FOCRate,0.0
TotalFOC,0.0
