Feature,SHAP_Importance
TransactionCount_x_AvgValue,1145.2399
Revenue_EMA_7,1072.9508
Year,403.09985
Revenue_RollingMean_7,298.9817
StdTransactionValue,297.66022
AvgRevenuePerEmployee,176.30392
UniqueCustomers_x_UniqueEmployees,83.831154
UniqueCustomers,82.64785
UniqueServices,78.96435
Revenue_RollingMean_14,74.80217
TransactionCount,73.9646
MonthEnd_x_Revenue,65.01938
Day,62.446728
ServiceDiversity,62.236206
Revenue_RollingMax_7,56.39739
Revenue_Lag_14,53.543045
Revenue_RollingStd_7,51.7923
UniqueEmployees,48.25928
AvgTransactionValue,47.809315
Revenue_Lag_30,43.675697
Day_cos,40.921673
Revenue_Lag_7,39.083397
Revenue_RollingMin_7,37.653313
AvgRevenuePerCustomer,36.934364
Revenue_RollingMin_30,36.604313
Revenue_RollingMean_30,33.90767
Revenue_RollingStd_14,32.88225
Revenue_RollingStd_30,26.55902
Revenue_EMA_30,26.261402
Day_sin,26.027475
Month_sin,24.298384
DayOfWeek,21.494987
DayOfWeek_sin,21.291807
DayOfWeek_cos,21.048294
Weekend_x_Month,19.481377
DiscountRate,17.718338
Revenue_RollingMax_30,15.075299
Month,14.933734
WeekOfYear,12.497472
ServiceDiversity_x_TransactionCount,11.230238
IsHoliday,9.926822
Month_cos,9.696993
TotalDiscount,9.530433
IsPreHoliday,5.875872
DiscountRate_x_IsWeekend,5.6508484
IsPostHoliday,5.0497804
Holiday_x_Weekend,1.7425362
IsWeekend,1.6514578
IsMonthStart,1.392386
Quarter,1.1420478
IsMajorHoliday,0.533955
IsMonthEnd,0.18654533
FOCRate,0.0
TotalFOC,0.0
