antecedents,consequents,support,confidence,lift,bundle_rpt,antecedent_rpt,consequent_rpt,composite_score
ExpreSculpt Deep Muscle Toning,Unlimited Body Slimming Sessions,0.042033235581622676,0.6515151515151515,12.118181818181817,112.39456916557361,140.42469982847342,84.36443850267379,887.3752493115032
Unlimited Body Slimming Sessions,ExpreSculpt Deep Muscle Toning,0.042033235581622676,0.7818181818181817,12.118181818181817,112.39456916557361,84.36443850267379,140.42469982847342,1064.8502991738037
"Picojoie Laser, ExpreSculpt Deep Muscle Toning",Unlimited Body Slimming Sessions,0.011730205278592375,0.6,11.16,123.03244867877997,142.36645376683305,84.36443850267379,823.8252763531107
"Unlimited Body Slimming Sessions, Picojoie Laser",ExpreSculpt Deep Muscle Toning,0.011730205278592375,0.7058823529411765,10.941176470588236,123.03244867877994,114.33632310393321,140.42469982847342,950.202164190439
Slimming Treatment x 15  @1299 ,Unlimited Body Slimming Sessions,0.010752688172043012,0.55,10.23,79.61669218580982,74.86894586894587,84.36443850267379,447.96331858345906
Slimming Treatment x 15  @1299 ,ExpreSculpt Deep Muscle Toning,0.010752688172043012,0.55,8.525,107.64682284870965,74.86894586894587,140.42469982847342,504.7290406318874
STRESS AWAY FACIAL ,HIFU 1ST TRIAL,0.010752688172043012,0.3666666666666667,4.688750000000001,144.15384615384616,99.0,189.30769230769232,247.83049358974364
Eye-Classic Treatment (Fine Lines / Wrinkles) with machine,Picojoie Laser,0.010752688172043012,0.45833333333333337,3.4731481481481485,158.7450129435054,173.1818181818182,144.30820770519264,252.69976771072444
Unlimited Body Slimming Sessions,Picojoie Laser,0.016617790811339198,0.3090909090909091,2.3422222222222224,114.33632310393321,84.36443850267379,144.30820770519264,82.77487827782932
ExpreSculpt Deep Muscle Toning,Picojoie Laser,0.019550342130987292,0.30303030303030304,2.2962962962962963,142.36645376683305,140.42469982847342,144.30820770519264,99.06532136412626
